Date;Exchange
25.11.2017;58,5318
24.11.2017;58,4622
23.11.2017;59,0061
22.11.2017;59,4604
21.11.2017;59,2746
18.11.2017;59,6325
17.11.2017;59,9898
16.11.2017;60,2490
15.11.2017;59,6207
14.11.2017;59,1823
11.11.2017;59,2808
10.11.2017;59,2527
09.11.2017;59,2480
08.11.2017;58,4557
04.11.2017;58,4296
03.11.2017;58,0869
02.11.2017;58,1557
01.11.2017;58,1179
31.10.2017;57,8716
28.10.2017;58,0833
27.10.2017;57,7643
26.10.2017;57,6140
25.10.2017;57,5852
24.10.2017;57,4706
21.10.2017;57,5118
20.10.2017;57,5706
19.10.2017;57,2721
18.10.2017;57,3392
17.10.2017;57,0861
14.10.2017;57,6196
13.10.2017;57,6869
12.10.2017;57,9210
11.10.2017;58,0713
10.10.2017;58,3151
07.10.2017;57,7612
06.10.2017;57,5811
05.10.2017;57,7832
04.10.2017;57,9375
03.10.2017;57,8134
30.09.2017;58,0169
29.09.2017;58,4255
28.09.2017;58,0102
27.09.2017;57,5186
26.09.2017;57,5660
23.09.2017;57,6527
22.09.2017;58,2242
21.09.2017;58,1290
20.09.2017;58,0993
19.09.2017;57,6242
16.09.2017;57,5336
15.09.2017;57,7706
14.09.2017;57,6679
13.09.2017;57,2656
12.09.2017;57,1694
09.09.2017;56,9966
08.09.2017;57,1411
07.09.2017;57,3387
06.09.2017;57,8503
05.09.2017;57,7817
02.09.2017;58,0557
01.09.2017;58,5454
31.08.2017;58,7306
30.08.2017;58,5320
29.08.2017;58,5469
26.08.2017;59,1476
25.08.2017;59,1397
24.08.2017;59,1312
23.08.2017;59,0396
22.08.2017;59,1409
19.08.2017;59,3612
18.08.2017;59,2490
17.08.2017;59,6521
16.08.2017;59,9266
15.08.2017;59,7990
12.08.2017;60,1873
11.08.2017;59,9298
10.08.2017;59,9611
09.08.2017;59,9886
08.08.2017;60,0605
05.08.2017;60,3281
04.08.2017;60,7503
03.08.2017;60,5819
02.08.2017;59,8454
01.08.2017;60,0633
29.07.2017;59,5436
28.07.2017;59,4102
27.07.2017;59,9102
26.07.2017;59,8185
25.07.2017;59,6572
22.07.2017;58,9325
21.07.2017;59,0823
20.07.2017;59,2418
19.07.2017;59,3705
18.07.2017;59,0657
15.07.2017;59,8806
14.07.2017;60,1836
13.07.2017;60,6227
12.07.2017;60,7397
11.07.2017;60,3014
08.07.2017;60,3792
07.07.2017;60,2426
06.07.2017;59,5787
05.07.2017;59,2295
04.07.2017;58,9695
01.07.2017;59,3862
30.06.2017;59,0855
29.06.2017;59,5415
28.06.2017;58,8843
27.06.2017;59,0014
24.06.2017;59,6564
23.06.2017;60,1482
22.06.2017;60,0000
21.06.2017;58,5786
20.06.2017;57,9585
17.06.2017;57,7408
16.06.2017;57,4437
15.06.2017;57,0303
14.06.2017;56,9096
10.06.2017;57,0020
09.06.2017;56,9857
08.06.2017;56,5878
07.06.2017;56,6747
06.06.2017;56,6152
03.06.2017;56,6876
02.06.2017;56,5373
01.06.2017;56,6876
31.05.2017;56,5168
30.05.2017;56,7106
27.05.2017;56,7560
26.05.2017;56,0701
25.05.2017;56,2743
24.05.2017;56,5552
23.05.2017;56,4988
20.05.2017;57,1602
19.05.2017;57,4683
18.05.2017;56,7383
17.05.2017;56,2603
16.05.2017;56,5258
13.05.2017;57,1640
12.05.2017;57,1161
11.05.2017;58,0824
06.05.2017;58,5382
05.05.2017;57,5714
04.05.2017;57,0927
03.05.2017;56,9518
29.04.2017;56,9838
28.04.2017;56,9707
27.04.2017;56,3131
26.04.2017;55,8453
25.04.2017;56,0794
22.04.2017;56,2307
21.04.2017;56,4165
20.04.2017;56,1753
19.04.2017;55,9793
18.04.2017;56,2505
15.04.2017;56,2945
14.04.2017;56,6019
13.04.2017;56,7556
12.04.2017;56,9552
11.04.2017;57,3896
08.04.2017;56,9201
07.04.2017;56,4369
06.04.2017;55,8940
05.04.2017;56,5553
04.04.2017;56,1396
01.04.2017;55,9606
31.03.2017;56,3779
30.03.2017;57,0241
29.03.2017;56,9364
28.03.2017;57,0233
25.03.2017;57,4247
24.03.2017;57,5228
23.03.2017;57,6360
22.03.2017;57,2323
